"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Verify search functionality","Verify 'DESC' sorting by 'PRODUCT_NAME' criteria","0","0","1","0","0"
"","Verify search functionality","Verify items on the page","0","1","0","0","0"
"","Verify the structure of the header","Verify header panel welcome message","0","0","1","0","0"
"","Verify search functionality","Verify items on the page with pagination","0","0","1","0","0"
"","Verify search functionality","Verify search for an item LIST view","0","0","1","0","0"
"","Verify search functionality","Verify search for an item GRID view","0","0","1","0","0"
"","Verify the structure of the header","Verify header panel structure","0","0","1","0","0"
"","Verify search functionality","Verify 'ASC' sorting by 'PRICE' criteria","0","0","1","0","0"
"","Verify search functionality","Verify 'DESC' sorting by 'PRICE' criteria","0","0","1","0","0"
"","Verify search functionality","Verify 'ASC' sorting by 'PRODUCT_NAME' criteria","0","0","1","0","0"
"","Verify search functionality","Verify navigation to the next page","0","0","1","0","0"
